Date,Australia,Brazil,Canada,Germany,France,Hongkong,Japan,Malaysia,US,India,Close
2019-10-31,1.136,6.44,1.42,-0.41,-0.096,1.54,-0.139,3.49,1.69,6.64,9635.330078
2019-11-01,1.096,6.41,1.44,-0.4,-0.065,1.5,-0.179,3.47,1.73,6.45,9802.330078
2019-11-05,1.2,6.43,1.6,-0.32,-0.024,1.58,-0.133,3.48,1.86,6.51,9938.610352
2019-11-06,1.27,6.49,1.54,-0.31,-0.028,1.59,-0.083,3.48,1.81,6.49,9860.969727
2019-11-07,1.211,6.64,1.61,-0.31,0.041,1.6,-0.083,3.48,1.92,6.5,9917.490234
2019-11-08,1.29,6.68,1.58,-0.26,0.024,1.69,-0.058,3.48,1.94,6.55,9895.339844
2019-11-13,1.272,6.71,1.55,-0.29,0.009,1.73,-0.043,3.47,1.88,6.53,9687.849609
2019-11-14,1.177,6.69,1.47,-0.33,-0.018,1.71,-0.067,3.47,1.82,6.52,9746.55957
2019-11-18,1.167,6.69,1.48,-0.32,-0.029,1.67,-0.082,3.47,1.81,6.48,9715.269531
2019-11-19,1.127,6.79,1.44,-0.33,-0.027,1.62,-0.087,3.47,1.79,6.47,9889.75
2019-11-20,1.072,6.76,1.42,-0.38,-0.042,1.57,-0.106,3.47,1.73,6.46,9809.049805
2019-11-21,1.072,6.87,1.48,-0.34,-0.013,1.54,-0.107,3.46,1.77,6.51,9774.44043
2019-11-22,1.097,6.83,1.47,-0.35,-0.046,1.56,-0.077,3.46,1.77,6.5,9626.900391
2019-11-25,1.092,6.85,1.47,-0.35,-0.04,1.55,-0.081,3.46,1.76,6.47,9626.360352
2019-11-26,1.077,7.02,1.44,-0.36,-0.061,1.53,-0.092,3.46,1.74,6.48,9677.230469
2019-11-27,1.018,7.03,1.47,-0.38,-0.055,1.52,-0.106,3.48,1.77,6.47,9648.389648
2019-11-29,1.034,6.89,1.46,-0.37,-0.043,1.53,-0.075,3.5,1.78,6.46,9582.160156
2019-12-02,1.094,6.91,1.53,-0.28,0.032,1.57,-0.039,3.51,1.83,6.48,9605.19043
2019-12-03,1.195,6.86,1.45,-0.28,-0.043,1.64,-0.014,3.53,1.72,6.46,9657.650391
2019-12-04,1.063,6.82,1.54,-0.33,-0.008,1.59,-0.029,3.51,1.77,6.46,9687.950195
2019-12-05,1.092,6.82,1.6,-0.31,0.023,1.6,-0.035,3.51,1.8,6.61,9799.070313
2019-12-06,1.127,6.79,1.58,-0.3,0.031,1.6,-0.009,3.51,1.84,6.66,9878.620117
2019-12-09,1.151,6.78,1.59,-0.31,0.015,1.65,0.001,3.52,1.83,6.66,9876.269531
2019-12-10,1.107,6.81,1.6,-0.29,0.016,1.65,-0.016,3.52,1.85,6.7,9915.870117
2019-12-11,1.156,6.78,1.58,-0.32,-0.009,1.66,0.004,3.53,1.79,6.76,9852.709961
2019-12-12,1.133,6.76,1.66,-0.33,0.039,1.63,-0.015,3.53,1.9,6.77,9836.230469
2019-12-13,1.258,6.77,1.58,-0.24,0.001,1.71,-0.014,3.54,1.82,6.78,10004.620117
2019-12-16,1.159,6.88,1.63,-0.3,0.023,1.68,-0.019,3.54,1.89,6.79,10158.240234
2019-12-17,1.158,6.97,1.63,-0.29,0.006,1.73,-0.004,3.54,1.89,6.74,10306.030273
2019-12-18,1.208,6.91,1.69,-0.29,0.049,1.72,-0.009,3.53,1.92,6.71,10294.660156
