Date,10years
2011-10-05,11.47 
2011-10-06,11.55 
2011-10-07,11.53 
2011-10-10,11.60 
2011-10-11,11.53 
2011-10-13,11.60 
2011-10-17,11.68 
2011-10-18,11.68 
2011-10-19,11.61 
2011-10-20,11.62 
2011-10-21,11.63 
2011-10-24,11.57 
2011-10-25,11.55 
2011-10-26,11.45 
2011-10-27,11.62 
2011-10-28,11.51 
2011-10-31,11.45 
2011-11-01,11.44 
2011-11-03,11.45 
2011-11-04,11.36 
2011-11-07,11.26 
2011-11-08,11.18 
2011-11-09,11.11 
2011-11-10,11.21 
2011-11-11,11.19 
2011-11-14,11.32 
2011-11-16,11.28 
2011-11-17,11.10 
2011-11-18,11.09 
2011-11-21,11.17 
2011-11-22,11.23 
2011-11-23,11.23 
2011-11-24,11.25 
2011-11-25,11.15 
2011-11-28,11.12 
2011-11-29,11.23 
2011-11-30,11.10 
2011-12-01,11.16 
2011-12-02,11.25 
2011-12-05,11.28 
2011-12-06,11.16 
2011-12-07,11.18 
2011-12-08,11.15 
2011-12-09,11.17 
2011-12-12,11.10 
2011-12-13,11.11 
2011-12-14,11.17 
2011-12-15,11.25 
2011-12-16,11.29 
2011-12-19,11.33 
2011-12-20,11.26 
2011-12-21,11.23 
2011-12-22,11.34 
2011-12-23,11.37 
2011-12-26,11.43 
2011-12-27,11.38 
2011-12-28,11.35 
2011-12-29,11.29 
2011-12-30,11.12 
2012-01-02,11.28 
2012-01-03,11.26 
2012-01-04,11.39 
2012-01-05,11.47 
2012-01-06,11.57 
2012-01-09,11.50 
2012-01-10,11.49 
2012-01-11,11.54 
2012-01-12,11.58 
2012-01-13,11.56 
2012-01-16,11.51 
2012-01-17,11.54 
2012-01-18,11.50 
2012-01-19,11.58 
2012-01-20,11.54 
2012-01-23,11.60 
2012-01-24,11.63 
2012-01-26,11.52 
2012-01-27,11.47 
2012-01-30,11.42 
2012-01-31,11.23 
2012-02-01,11.21 
2012-02-02,11.19 
2012-02-03,11.18 
2012-02-06,11.24 
2012-02-07,11.22 
2012-02-08,11.25 
2012-02-09,11.20 
2012-02-10,11.03 
2012-02-13,11.02 
2012-02-14,10.92 
2012-02-15,10.91 
2012-02-16,10.93 
2012-02-17,10.89 
2012-02-20,10.89 
2012-02-22,11.04 
2012-02-23,11.32 
2012-02-24,11.15 
2012-02-27,11.18 
2012-02-28,11.39 
2012-02-29,11.39 
2012-03-01,11.09 
2012-03-02,11.08 
2012-03-05,11.29 
2012-03-06,11.29 
2012-03-07,11.28 
2012-03-08,11.18 
2012-03-09,11.04 
2012-03-12,11.26 
2012-03-13,11.40 
2012-03-14,11.56 
2012-03-15,11.33 
2012-03-16,11.38 
2012-03-19,11.60 
2012-03-20,11.46 
2012-03-21,11.50 
2012-03-22,11.42 
2012-03-23,11.36 
2012-03-26,11.39 
2012-03-27,11.20 
2012-03-28,11.12 
2012-03-29,11.16 
2012-03-30,11.24 
2012-04-02,11.07 
2012-04-03,11.18 
2012-04-04,11.15 
2012-04-05,11.02 
2012-04-06,11.02 
2012-04-09,10.87 
2012-04-10,10.72 
2012-04-11,10.78 
2012-04-12,10.80 
2012-04-13,10.78 
2012-04-16,10.79 
2012-04-17,10.76 
2012-04-18,10.75 
2012-04-19,10.77 
2012-04-20,10.77 
2012-04-23,10.76 
2012-04-24,10.66 
2012-04-25,10.54 
2012-04-26,10.65 
2012-04-27,10.68 
2012-04-30,10.71 
2012-05-01,10.71 
2012-05-02,10.58 
2012-05-03,10.52 
2012-05-04,10.15 
2012-05-07,10.01 
2012-05-08,10.24 
2012-05-09,10.41 
2012-05-10,10.17 
2012-05-11,10.28 
2012-05-14,10.30 
2012-05-15,10.25 
2012-05-16,10.18 
2012-05-17,10.11 
2012-05-18,10.02 
2012-05-21,10.12 
2012-05-22,10.46 
2012-05-23,10.28 
2012-05-24,10.42 
2012-05-25,10.32 
2012-05-28,10.25 
2012-05-29,10.27 
2012-05-30,10.31 
2012-05-31,10.47 
2012-06-01,10.40 
2012-06-04,10.87 
2012-06-05,10.87 
2012-06-06,10.71 
2012-06-07,10.71 
2012-06-08,10.51 
2012-06-11,10.65 
2012-06-12,10.52 
2012-06-13,10.49 
2012-06-14,10.43 
2012-06-15,10.53 
2012-06-18,10.22 
2012-06-19,10.31 
2012-06-20,10.08 
2012-06-21,10.29 
2012-06-22,10.23 
2012-06-25,9.85 
2012-06-26,9.90 
2012-06-27,9.93 
2012-06-28,10.25 
2012-06-29,9.92 
2012-07-02,9.82 
2012-07-03,9.88 
2012-07-04,9.93 
2012-07-05,9.94 
2012-07-06,9.92 
2012-07-09,10.01 
2012-07-10,9.78 
2012-07-11,9.69 
2012-07-12,9.73 
2012-07-13,9.64 
2012-07-16,9.55 
2012-07-17,9.66 
2012-07-18,9.58 
2012-07-19,9.42 
2012-07-20,9.32 
2012-07-23,9.37 
2012-07-24,9.49 
2012-07-25,9.40 
2012-07-26,9.44 
2012-07-27,9.59 
2012-07-30,9.56 
2012-07-31,9.46 
2012-08-01,9.40 
2012-08-02,9.39 
2012-08-03,9.51 
2012-08-06,9.45 
2012-08-07,9.44 
2012-08-08,9.50 
2012-08-09,9.54 
2012-08-10,9.75 
2012-08-13,9.67 
2012-08-14,9.67 
2012-08-15,9.64 
2012-08-16,9.78 
2012-08-17,9.73 
2012-08-20,9.99 
2012-08-21,9.89 
2012-08-22,10.00 
2012-08-23,9.96 
2012-08-24,9.83 
2012-08-27,9.82 
2012-08-28,9.75 
2012-08-29,9.82 
2012-08-30,9.71 
2012-08-31,9.57 
2012-09-03,9.60 
2012-09-04,9.63 
2012-09-05,9.65 
2012-09-06,9.70 
2012-09-07,9.70 
2012-09-10,9.73 
2012-09-11,9.71 
2012-09-12,9.74 
2012-09-13,9.74 
2012-09-14,9.96 
2012-09-17,9.97 
2012-09-18,9.94 
2012-09-19,9.96 
2012-09-20,9.93 
